Index,Time,(g_motorDebug).open_loop_angle_rad,(g_motorDebug).observer_angle_rad
1782,1.782191,2.77485824,4.34481907
1783,1.783188,3.45485759,5.02522612
1784,1.784190,4.13485718,5.67572927
1785,1.785185,4.77485657,0.0588358343
1786,1.786182,5.45485592,0.715172648
1787,1.787191,6.13485527,1.37876189
1788,1.788194,0.491669565,2.06688976
1789,1.789190,1.1716696,2.74472976
1790,1.790279,1.89166892,3.46741271
1791,1.791182,2.49166846,4.0767765
1792,1.792191,3.17166781,4.73911858
1793,1.793194,3.85166717,5.39360476
1794,1.794192,4.49166679,6.05696869
1795,1.795182,5.17166615,0.421025187
1796,1.796196,5.8516655,1.10487175
1797,1.797185,0.208479583,1.78057909
1798,1.798193,0.88847971,2.47448826
1799,1.799182,1.56847918,3.09495401
1800,1.800190,2.20847869,3.78822064
1801,1.801192,2.88847804,4.45558977
1802,1.802190,3.56847739,5.10277367
1803,1.803190,4.20847702,5.78763533
1804,1.804186,4.88847637,0.134844005
1805,1.805188,5.56847572,0.829254091
1806,1.806189,6.20847511,1.48914361
1807,1.807215,0.605289519,2.18326735
1808,1.808193,1.28528941,2.81628585
1809,1.809187,1.9252888,3.50266266
1810,1.810191,2.60528827,4.1883316
1811,1.811187,3.28528762,4.81363535
1812,1.812189,3.92528701,5.50714731
1813,1.813185,4.6052866,6.12844086
1814,1.814188,5.28528595,0.53829062
1815,1.815193,5.92528534,1.21595156
1816,1.816189,0.322099477,1.8993243
1817,1.817185,1.00209963,2.54750681
1818,1.818188,1.64209902,3.20926857
1819,1.819184,2.32209849,3.86337328
1820,1.820187,3.00209785,4.52793598
1821,1.821192,3.64209723,5.2217555
1822,1.822182,4.32209682,5.86064053
1823,1.823191,5.00209618,0.295226514
1824,1.824218,5.68209553,0.942906141
1825,1.825184,0.0389094353,1.56326973
1826,1.826187,0.718909502,2.25994825
1827,1.827187,1.35890937,2.92861152
1828,1.828183,2.03890872,3.58089232
1829,1.829185,2.71890807,4.26169872
1830,1.830193,3.35890746,4.93180132
1831,1.831184,4.03890705,5.58147717
1832,1.832192,4.7189064,6.24127817
1833,1.833192,5.35890579,0.655782759
1834,1.834190,6.03890514,1.32754803
1835,1.835193,0.435719341,1.97659385
1836,1.836182,1.07571959,2.65869641
1837,1.837185,1.75571895,3.28438759
1838,1.838193,2.4357183,3.9765358
1839,1.839283,3.15571761,4.71873331
1840,1.840193,3.75571704,5.33799791
1841,1.841184,4.43571663,5.97012901
1842,1.842182,5.07571602,0.370467812
1843,1.843472,5.95571518,1.20749009
1844,1.844196,0.152529359,1.67672384
1845,1.845191,0.792529464,2.37280583
1846,1.846186,1.47252917,2.99890184
1847,1.847183,2.15252852,3.6957643
1848,1.848185,2.79252791,4.36937952
1849,1.849182,3.47252727,5.0055232
1850,1.850186,4.15252686,5.69081259
1851,1.851192,4.79252625,0.070629634
1852,1.852183,5.4725256,0.728742361
1853,1.853191,6.15252495,1.39751863
1854,1.854194,0.509339273,2.0923245
1855,1.855191,1.22933936,2.76714492
1856,1.856219,1.86933875,3.44153214
1857,1.857183,2.50933814,4.0878911
1858,1.858193,3.18933749,4.75196648
1859,1.859184,3.86933684,5.41215801
1860,1.860192,4.50933647,6.07987452
1861,1.861183,5.18933582,0.445959806
1862,1.862192,5.86933517,1.12407386
1863,1.863192,0.226149261,1.79344094
1864,1.864188,0.906149447,2.44645047
1865,1.865190,1.58614898,3.11199117
1866,1.866192,2.22614837,3.81244779
1867,1.867182,2.90614772,4.44128466
1868,1.868190,3.58614707,5.12391615
1869,1.869190,4.2261467,5.80210972
1870,1.870187,4.90614605,0.188556805
1871,1.871218,5.5861454,0.884066343
1872,1.872184,6.22614479,1.51083636
1873,1.873193,0.622959256,2.20981741
1874,1.874184,1.3029592,2.83916378
1875,1.875190,1.94295859,3.51832819
1876,1.876185,2.62295794,4.1607914
1877,1.877193,3.3029573,4.82822609
1878,1.878184,3.94295669,5.52735376
1879,1.879192,4.62295628,6.15270853
1880,1.880194,5.30295563,0.563630044
1881,1.881188,5.94295502,1.2347647
1882,1.882192,0.339769155,1.8707577
1883,1.883188,1.01976931,2.55953336
1884,1.884190,1.6597687,3.22868252
1885,1.885186,2.33976817,3.8878758
1886,1.886295,3.05976748,4.63037395
1887,1.887184,3.65976691,5.24174309
1888,1.888190,4.3397665,5.87435007
1889,1.889187,5.01976585,0.26615411
1890,1.890190,5.65976524,0.958445013
1891,1.891187,0.0565791503,1.58611345
1892,1.892189,0.73657918,2.28604364
1893,1.893183,1.37657893,2.94992471
1894,1.894185,2.0565784,3.5955267
1895,1.895193,2.73657775,4.27243471
1896,1.896188,3.37657714,4.94738913
1897,1.897184,4.05657673,5.60198355
1898,1.898188,4.73657608,6.26652956
1899,1.899182,5.37657547,0.679979801
1900,1.900184,6.05657482,1.30650258
1901,1.901193,0.453389049,1.98920262
1902,1.902184,1.13338912,2.67132735
1903,1.903207,1.7733885,3.34689999
1904,1.904190,2.45338798,4.0017252
1905,1.905184,3.09338737,4.66350222
1906,1.906193,3.77338672,5.31677437
1907,1.907209,4.45338631,5.98375368
1908,1.908187,5.0933857,0.383408964
1909,1.909184,5.77338505,1.02984118
1910,1.910187,0.170199066,1.70057309
1911,1.911193,0.810199142,2.39775133
1912,1.912184,1.49019873,3.0192337
1913,1.913192,2.1701982,3.70952177
1914,1.914184,2.81019759,4.38041878
1915,1.915193,3.49019694,5.02187681
1916,1.916188,4.17019653,5.71168089
1917,1.917183,4.81019592,0.0960708112
1918,1.918324,5.5701952,0.871013761
1919,1.919193,6.17019463,1.41339087
1920,1.920190,0.527008951,2.10342646
1921,1.921193,1.20700896,2.7402699
1922,1.922191,1.88700831,3.42064214
1923,1.923191,2.52700782,4.11119699
1924,1.924188,3.20700717,4.7338233
1925,1.925191,3.88700652,5.42830276
1926,1.926193,4.52700615,6.09039164
1927,1.927183,5.2070055,0.456667215
